datetime,temp_c,precip_mm,humidity_pct,wind_speed_mph,pressure_hpa,water_level_cm
2023-01-01 00:00:00,-3.1,0.0,71.1,11.0,1020.4,80.4
2023-01-01 06:00:00,-5.0,0.0,78.6,12.3,1026.8,80.3
2023-01-01 12:00:00,-2.6,0.2,70.2,15.0,1021.6,79.0
2023-01-01 18:00:00,0.0,0.0,60.7,12.8,1011.7,79.5
2023-01-02 00:00:00,-5.3,0.0,73.9,11.6,1018.5,78.5
2023-01-02 06:00:00,-5.3,0.0,61.9,14.9,1012.9,78.3
2023-01-02 12:00:00,0.1,0.0,64.0,9.6,1009.7,84.7
2023-01-02 18:00:00,-2.3,0.0,68.8,11.8,1015.8,81.1
2023-01-03 00:00:00,-6.1,0.0,70.6,15.0,1022.9,83.5
2023-01-03 06:00:00,-3.1,0.0,65.0,13.6,1019.4,79.0
2023-01-03 12:00:00,-6.1,0.0,68.6,10.6,1011.0,78.1
2023-01-03 18:00:00,-6.1,0.0,73.6,7.5,1015.6,78.7
2023-01-04 00:00:00,-4.0,0.0,74.3,12.9,1017.3,79.9
2023-01-04 06:00:00,-10.5,0.0,76.3,7.3,1009.6,80.8
2023-01-04 12:00:00,-9.9,0.0,79.5,11.4,1021.6,80.4
2023-01-04 18:00:00,-6.4,0.0,74.0,15.5,1016.9,79.1
2023-01-05 00:00:00,-7.8,0.9,71.5,13.8,1009.3,82.2
2023-01-05 06:00:00,-3.8,0.8,76.8,5.9,1009.1,83.3
2023-01-05 12:00:00,-7.5,0.0,72.3,12.6,1023.5,83.7
2023-01-05 18:00:00,-9.0,0.0,72.5,11.0,1016.1,84.8
2023-01-06 00:00:00,-0.4,0.0,70.9,8.2,1024.0,80.9
2023-01-06 06:00:00,-5.5,0.0,65.4,13.0,1025.9,83.8
2023-01-06 12:00:00,-4.6,0.0,64.9,10.5,1023.1,81.4
2023-01-06 18:00:00,-9.1,0.0,69.5,10.5,1015.3,78.1
2023-01-07 00:00:00,-6.5,0.0,70.7,12.4,1005.5,84.7
2023-01-07 06:00:00,-4.5,0.0,66.6,10.1,1019.6,85.6
2023-01-07 12:00:00,-8.3,0.0,72.1,12.3,1028.5,82.3
2023-01-07 18:00:00,-3.7,0.0,80.4,10.2,1017.8,81.2
